ATLAS COVER PARTNERS - MONTHLY PREMIUM BDX,,,,,,,,
Period: June 2026,Binder ref: ACP/BXC/2026-014,,,,,,,
,,,,,,,,
Pol Ref,Name of Assured,Class of Biz,Inc Date,Exp Date,Ccy,Gross Prem,Comm %,Risk P/C
ACP-2026-0101,Harlow Grain Stores Ltd,Prop - Commercial,01/06/2026,31/05/2027,GBP,"12,450.00",22.5,CM20 2ST
ACP-2026-0102,Kestrel Foods (Midlands) Ltd,Prop - Commercial,05/06/2026,04/06/2027,GBP,"28,900.00",22.5,B7 4BB
ACP-2026-0103,Drovers Lane Logistics,Motor Fleet,08/06/2026,07/06/2027,GBP,"9,120.50",20.0,
ACP-2026-0104,Sable & Finch Interiors,Comb Liability,10/06/2026,09/06/2027,GBP,"4,780.00",25.0,LS2 7EW
ACP-2026-0105,Ostara Fine Wines GmbH,Marine - Cargo,15/06/2026,14/06/2027,EUR,"16,300.00",18.0,
ACP-2026-0106,Pennine Cold Storage Ltd,Prop - Commercial,18/06/2026,17/06/2027,GBP,"31,275.75",22.5,HD1 3PQ
ACP-2026-0107,Bryher Marine Supplies,Marine - Cargo,22/06/2026,21/06/2027,GBP,"7,940.00",18.0,TR21 0LL
ACP-2026-0108,Cotswold Event Hire Ltd,Comb Liability,29/06/2026,28/06/2027,GBP,"6,150.00",25.0,GL7 2NX
,,,,,,,,
TOTAL,,,,,,"116,916.25",,
